# dirty - input integrity. dirty-scatter's history again, folded one row per
# (commit, path) but with a DISTINCT ref minted per path, so the repeated-ref
# guard cannot see it. Scored naively it reports fan=1 over a 10-commit
# denominator: the same 75% spread BREACH laundered into 0.0%. The declared
# commit count (4, as `git rev-list --count` reports) disagrees with the 10
# commit rows read, so the fold is refused as input (exit 2), never scored.
commits	total	4
component	billing	300
component	invoicing	280
component	notify	150
component	audit	200
commit	b1-billing	billing
commit	b1-invoicing	invoicing
commit	b1-notify	notify
commit	b2-billing	billing
commit	b2-invoicing	invoicing
commit	b2-audit	audit
commit	b3-billing	billing
commit	b3-notify	notify
commit	b3-audit	audit
commit	b4-billing	billing
